"","scSTMTyoe","modelType","seed","nCellType","nSample","Batch","CancerType","pooled_scSTMseq","Seurat"
"seurat...52","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733587033",10,10,FALSE,TRUE,1,1
"seurat...53","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733587068",10,10,FALSE,TRUE,1,0.966064800741438
"seurat...54","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733587087",10,10,FALSE,TRUE,1,0.991410128984777
"seurat...55","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733587144",10,10,FALSE,TRUE,1,1
"seurat...56","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733587202",10,10,FALSE,TRUE,1,0.986514046667979
"seurat...57","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733587258",10,10,FALSE,TRUE,1,0.979907902092614
"seurat...58","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733587389",10,10,FALSE,TRUE,1,1
"seurat...59","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733587407",10,10,FALSE,TRUE,1,0.972430135160195
"seurat...60","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733587574",10,10,FALSE,TRUE,1,1
"seurat...61","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733587576",10,10,FALSE,TRUE,1,1
"seurat...62","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733587603",10,10,FALSE,TRUE,1,0.986591226090836
"seurat...63","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733587629",10,10,FALSE,TRUE,1,1
"seurat...64","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733587654",10,10,FALSE,TRUE,1,0.981114549790794
"seurat...65","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733587658",10,10,FALSE,TRUE,1,1
"seurat...66","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733587667",10,10,FALSE,TRUE,1,0.975726976416243
"seurat...67","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733587763",10,10,FALSE,TRUE,1,0.982674831516701
"seurat...68","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733587785",10,10,FALSE,TRUE,1,1
"seurat...69","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733587807",10,10,FALSE,TRUE,1,1
"seurat...70","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733587823",10,10,FALSE,TRUE,1,1
"seurat...71","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733587888",10,10,FALSE,TRUE,1,0.976021689782371
"seurat...72","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733587961",10,10,FALSE,TRUE,1,1
"seurat...73","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733587985",10,10,FALSE,TRUE,1,1
"seurat...74","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733588007",10,10,FALSE,TRUE,1,1
"seurat...75","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733588042",10,10,FALSE,TRUE,1,0.988127967569906
"seurat...76","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733588117",10,10,FALSE,TRUE,1,0.963499679374948
"seurat...77","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733588213",10,10,FALSE,TRUE,1,0.992638695510753
"seurat...78","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733588221",10,10,FALSE,TRUE,1,0.981158260539807
"seurat...79","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733588239",10,10,FALSE,TRUE,1,1
"seurat...80","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733588265",10,10,FALSE,TRUE,1,1
"seurat...81","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733588279",10,10,FALSE,TRUE,1,0.98890438666358
"seurat...82","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733588295",10,10,FALSE,TRUE,1,1
"seurat...83","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733588336",10,10,FALSE,TRUE,1,1
"seurat...84","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733588357",10,10,FALSE,TRUE,1,1
"seurat...85","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733588472",10,10,FALSE,TRUE,1,0.967480959856187
"seurat...86","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733588489",10,10,FALSE,TRUE,1,1
"seurat...87","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733588490",10,10,FALSE,TRUE,1,1
"seurat...88","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733588576",10,10,FALSE,TRUE,1,1
"seurat...89","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733588696",10,10,FALSE,TRUE,1,0.963348795969811
"seurat...90","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733588771",10,10,FALSE,TRUE,1,1
"seurat...91","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733588798",10,10,FALSE,TRUE,1,0.982607558262985
"seurat...92","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733588812",10,10,FALSE,TRUE,1,1
"seurat...93","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733588934",10,10,FALSE,TRUE,1,0.987661970531399
"seurat...94","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733588962",10,10,FALSE,TRUE,1,1
"seurat...95","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733589011",10,10,FALSE,TRUE,1,0.957809957111146
"seurat...96","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733589061",10,10,FALSE,TRUE,1,1
"seurat...97","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733589172",10,10,FALSE,TRUE,1,1
"seurat...98","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630187",10,10,FALSE,TRUE,1,1
"seurat...99","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630191",10,10,FALSE,TRUE,1,0.99409803797418
"seurat...100","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630195",10,10,FALSE,TRUE,1,1
"seurat...101","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630205",10,10,FALSE,TRUE,1,0.973039961183659
"seurat...102","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630206",10,10,FALSE,TRUE,1,0.994103782452244
"seurat...103","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630214",10,10,FALSE,TRUE,1,1
"seurat...104","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630222",10,10,FALSE,TRUE,1,0.954823197765804
"seurat...105","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630237",10,10,FALSE,TRUE,1,1
"seurat...106","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630424",10,10,FALSE,TRUE,1,1
"seurat...107","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630434",10,10,FALSE,TRUE,1,1
"seurat...108","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630436",10,10,FALSE,TRUE,1,1
"seurat...109","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630457",10,10,FALSE,TRUE,1,1
"seurat...110","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630469",10,10,FALSE,TRUE,1,0.988013138130761
"seurat...111","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630499",10,10,FALSE,TRUE,1,1
"seurat...112","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630506",10,10,FALSE,TRUE,1,0.986512735981297
"seurat...113","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630516",10,10,FALSE,TRUE,1,1
"seurat...114","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630661",10,10,FALSE,TRUE,1,0.951553126658263
"seurat...115","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630668",10,10,FALSE,TRUE,1,0.966701599483554
"seurat...116","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630675",10,10,FALSE,TRUE,1,0.967601897745137
"seurat...117","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630688",10,10,FALSE,TRUE,1,0.97385261022372
"seurat...118","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630760",10,10,FALSE,TRUE,1,0.960030298239248
"seurat...119","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630784",10,10,FALSE,TRUE,1,0.971760899293566
"seurat...120","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630796",10,10,FALSE,TRUE,1,0.974277501314796
"seurat...121","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630899",10,10,FALSE,TRUE,1,0.98757745830561
"seurat...122","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630911",10,10,FALSE,TRUE,1,1
"seurat...123","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630946",10,10,FALSE,TRUE,1,1
"seurat...124","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630967",10,10,FALSE,TRUE,1,0.990541344770389
"seurat...125","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733630991",10,10,FALSE,TRUE,1,1
"seurat...126","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631019",10,10,FALSE,TRUE,1,0.923111283339492
"seurat...127","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631045",10,10,FALSE,TRUE,1,1
"seurat...128","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631078",10,10,FALSE,TRUE,1,0.989361956485917
"seurat...129","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631116",10,10,FALSE,TRUE,1,1
"seurat...130","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631123",10,10,FALSE,TRUE,1,1
"seurat...131","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631127",10,10,FALSE,TRUE,1,1
"seurat...132","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631231",10,10,FALSE,TRUE,1,0.941636520190439
"seurat...133","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631273",10,10,FALSE,TRUE,1,0.976323580130041
"seurat...134","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631301",10,10,FALSE,TRUE,1,1
"seurat...135","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631372",10,10,FALSE,TRUE,1,0.960113219976452
"seurat...136","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631386",10,10,FALSE,TRUE,1,0.971489683781753
"seurat...137","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631389",10,10,FALSE,TRUE,1,1
"seurat...138","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631401",10,10,FALSE,TRUE,1,0.970265952813814
"seurat...139","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631458",10,10,FALSE,TRUE,1,0.974061095621524
"seurat...140","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631475",10,10,FALSE,TRUE,1,1
"seurat...141","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631503",10,10,FALSE,TRUE,1,0.960244653911823
"seurat...142","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631544",10,10,FALSE,TRUE,1,1
"seurat...143","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631640",10,10,FALSE,TRUE,1,1
"seurat...144","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631641",10,10,FALSE,TRUE,1,0.994666161988443
"seurat...145","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631645",10,10,FALSE,TRUE,1,0.981003004740917
"seurat...146","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631651",10,10,FALSE,TRUE,1,1
"seurat...147","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631656",10,10,FALSE,TRUE,1,1
"seurat...148","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631736",10,10,FALSE,TRUE,1,0.974132690000317
"seurat...149","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631754",10,10,FALSE,TRUE,1,0.914881230329152
