"","modelType","seed","nCellType","nSample","Batch","CancerType","pooled_scSTMseq","lm_scSTMseq"
"134","1729998767","scSTM",10,20,FALSE,FALSE,1,NA
"135","HighVar1","1729998767",10,20,FALSE,FALSE,1,1
"136","NullModel","1729998767",10,20,FALSE,FALSE,1,1
"137","1729998771","scSTM",10,20,FALSE,FALSE,1,NA
"138","1729998771","scSTM",10,20,FALSE,FALSE,1,NA
"139","1729998771","scSTM",10,20,FALSE,FALSE,1,NA
"140","HighVar1","1729998771",10,20,FALSE,FALSE,1,1
"141","NullModel","1729998771",10,20,FALSE,FALSE,1,1
"142","1729998787","scSTM",10,20,FALSE,FALSE,1,NA
"143","1729998787","scSTM",10,20,FALSE,FALSE,1,NA
"144","1729998787","scSTM",10,20,FALSE,FALSE,1,NA
"145","HighVar1","1729998787",10,20,FALSE,FALSE,1,1
"146","NullModel","1729998787",10,20,FALSE,FALSE,1,1
"147","1729998795","scSTM",10,20,FALSE,FALSE,1,NA
"148","1729998795","scSTM",10,20,FALSE,FALSE,1,NA
"149","1729998795","scSTM",10,20,FALSE,FALSE,1,NA
"150","HighVar1","1729998795",10,20,FALSE,FALSE,1,1
"151","NullModel","1729998795",10,20,FALSE,FALSE,1,1
"152","1729998801","scSTM",10,20,FALSE,FALSE,1,NA
"153","1729998801","scSTM",10,20,FALSE,FALSE,1,NA
"154","1729998801","scSTM",10,20,FALSE,FALSE,1,NA
"155","HighVar1","1729998801",10,20,FALSE,FALSE,1,1
"156","NullModel","1729998801",10,20,FALSE,FALSE,1,1
"157","1729998807","scSTM",10,20,FALSE,FALSE,1,NA
"158","1729998807","scSTM",10,20,FALSE,FALSE,1,NA
"159","1729998807","scSTM",10,20,FALSE,FALSE,1,NA
"160","HighVar1","1729998807",10,20,FALSE,FALSE,1,1
"161","NullModel","1729998807",10,20,FALSE,FALSE,1,1
"162","1729998808","scSTM",10,20,FALSE,FALSE,1,NA
"163","1729998808","scSTM",10,20,FALSE,FALSE,1,NA
"164","1729998808","scSTM",10,20,FALSE,FALSE,1,NA
"165","HighVar1","1729998808",10,20,FALSE,FALSE,1,1
"166","NullModel","1729998808",10,20,FALSE,FALSE,1,1
"167","1729998829","scSTM",10,20,FALSE,FALSE,1,NA
"168","1729998829","scSTM",10,20,FALSE,FALSE,1,NA
"169","1729998829","scSTM",10,20,FALSE,FALSE,1,NA
"170","HighVar1","1729998829",10,20,FALSE,FALSE,1,1
"171","NullModel","1729998829",10,20,FALSE,FALSE,1,1
"172","1729998830","scSTM",10,20,FALSE,FALSE,1,NA
"173","1729998830","scSTM",10,20,FALSE,FALSE,1,NA
"174","1729998830","scSTM",10,20,FALSE,FALSE,1,NA
"175","HighVar1","1729998830",10,20,FALSE,FALSE,1,1
"176","NullModel","1729998830",10,20,FALSE,FALSE,1,NA
"177","1729998853","scSTM",10,20,FALSE,FALSE,1,NA
"178","1729998853","scSTM",10,20,FALSE,FALSE,1,NA
"179","1729998853","scSTM",10,20,FALSE,FALSE,1,NA
"180","HighVar1","1729998853",10,20,FALSE,FALSE,1,1
"181","NullModel","1729998853",10,20,FALSE,FALSE,1,1
"182","1729998857","scSTM",10,20,FALSE,FALSE,1,NA
"183","1729998857","scSTM",10,20,FALSE,FALSE,1,NA
"184","1729998857","scSTM",10,20,FALSE,FALSE,1,NA
"185","HighVar1","1729998857",10,20,FALSE,FALSE,1,1
"186","NullModel","1729998857",10,20,FALSE,FALSE,1,1
"187","1729998867","scSTM",10,20,FALSE,FALSE,1,NA
"188","1729998867","scSTM",10,20,FALSE,FALSE,1,NA
"189","1729998867","scSTM",10,20,FALSE,FALSE,1,NA
"190","HighVar1","1729998867",10,20,FALSE,FALSE,1,1
"191","NullModel","1729998867",10,20,FALSE,FALSE,1,1
"192","1729998879","scSTM",10,20,FALSE,FALSE,1,NA
"193","1729998879","scSTM",10,20,FALSE,FALSE,1,NA
"194","1729998879","scSTM",10,20,FALSE,FALSE,1,NA
"195","HighVar1","1729998879",10,20,FALSE,FALSE,1,1
"196","NullModel","1729998879",10,20,FALSE,FALSE,1,1
"197","1729998931","scSTM",10,20,FALSE,FALSE,1,NA
"198","1729998931","scSTM",10,20,FALSE,FALSE,1,NA
"199","1729998931","scSTM",10,20,FALSE,FALSE,1,NA
"200","HighVar1","1729998931",10,20,FALSE,FALSE,1,1
"201","NullModel","1729998931",10,20,FALSE,FALSE,1,1
"202","1729998950","scSTM",10,20,FALSE,FALSE,1,NA
