"","sim","seed","effectSize","scSTM_pooled_cluster","scSTM_L1_cluster","scSTM_LR_cluster","fastTopics_cluster","seurat_cluster","sctransform_cluster","monocle3_cluster"
"1","1726448006_effectSize0.1","1726448006","effectSize0.1",0.954691207782995,0.954691207782995,0.954691207782995,0.712901485567343,0.408196464052149,0.327947669654812,0.794534543366704
"2","1726448006_effectSize0.4","1726448006","effectSize0.4",0.952309296016967,0.952309296016967,0.952309296016967,0.678567161980593,0.407774888169438,0.325085077879638,0.792827602002477
"3","1726448006_effectSize0.7","1726448006","effectSize0.7",0.948879532424978,0.948879532424978,0.948879532424978,0.67408726284865,0.40662940392942,0.324686311575738,0.741614079427904
"4","1726448006_effectSize1","1726448006","effectSize1",0.872396164358461,0.873185997830583,0.872868469028513,0.674036947264695,0.406699769405345,0.324212964269214,0.789068213119807
"5","1726448018_effectSize0.1","1726448018","effectSize0.1",0.841089807131272,0.841089807131272,0.841089807131272,0.500456550226451,0.366465713816859,0.317619034152322,0.619131554481506
"6","1726448018_effectSize0.4","1726448018","effectSize0.4",0.73013947160562,0.730271959970224,0.584016046005566,0.501827794186194,0.361080387819001,0.312558255129063,0.607453117955369
"7","1726448018_effectSize0.7","1726448018","effectSize0.7",0.837669536275113,0.837379641688404,0.837379641688404,0.504434756781214,0.355768908077498,0.305977631047737,0.604341794030104
"8","1726448018_effectSize1","1726448018","effectSize1",0.842122235567777,0.843404205617266,0.844443571460266,0.485590503569934,0.306751976423947,0.303666459087117,0.580512463954403
"9","1726448019_effectSize0.1","1726448019","effectSize0.1",0.908496686838596,0.908496686838596,0.908496686838596,0.883629921329746,0.392915475656972,0.333069353028862,0.634458073494829
"10","1726448019_effectSize0.4","1726448019","effectSize0.4",0.888127587118346,0.888127587118346,0.888127587118346,0.869710671005876,0.388982552804758,0.329955393338841,0.652315052346655
"11","1726448019_effectSize0.7","1726448019","effectSize0.7",0.880334025241291,0.880334025241291,0.880438195185254,0.856923848168121,0.377680105350885,0.329040484489848,0.645493692731347
"12","1726448019_effectSize1","1726448019","effectSize1",0.872623129686768,0.872623129686768,0.872623129686768,0.81240818238542,0.374979722638308,0.326518472249941,0.645864064565425
"13","1726448053_effectSize0.1","1726448053","effectSize0.1",0.734631988102754,0.731648957337095,0.734631988102754,0.838934808639582,0.368030316412966,0.319758397672623,0.649890091896434
"14","1726448053_effectSize0.4","1726448053","effectSize0.4",0.730256753991817,0.730497480808422,0.730256753991817,0.83270777886578,0.369433542706912,0.320322633731558,0.660727455709879
"15","1726448053_effectSize0.7","1726448053","effectSize0.7",0.833927383656738,0.790065993205536,0.805808871998935,0.824157393259248,0.36908420049319,0.319071885399997,0.663072249414801
"16","1726448053_effectSize1","1726448053","effectSize1",0.845584930526051,0.773276807587855,0.839453078431183,0.818207700800391,0.370086753406882,0.318582456479199,0.675317310209116
"17","1726448140_effectSize0.1","1726448140","effectSize0.1",0.928814164400148,0.928965535834477,0.928814164400148,0.813714516663432,0.503323040427875,0.303872537316149,0.793815432148797
"18","1726448140_effectSize0.4","1726448140","effectSize0.4",0.817535859291286,0.81754251761002,0.817416920026005,0.811355523649927,0.494654652852449,0.293663467876908,0.783982735676492
"19","1726448140_effectSize0.7","1726448140","effectSize0.7",0.903114331092045,0.899525942464503,0.903132655056552,0.68110674787208,0.489593249340678,0.288747146793769,0.774692463923824
"20","1726448140_effectSize1","1726448140","effectSize1",0.883181888973423,0.766574727302344,0.883164880675653,0.67130181793334,0.480417721144302,0.282524461406057,0.767363566711697
"21","1726448152_effectSize0.1","1726448152","effectSize0.1",0.857083285122868,0.858855065811285,0.887503622119968,0.718820793245911,0.489560886833089,0.322145789228054,0.761474786321373
"22","1726448152_effectSize0.4","1726448152","effectSize0.4",0.892942337717408,0.892942337717408,0.892942337717408,0.698449436609635,0.486364789311148,0.314537932405265,0.780847425183626
"23","1726448152_effectSize0.7","1726448152","effectSize0.7",0.87200867620539,0.871748168166324,0.871061292637457,0.689949171978483,0.485821845515931,0.311414122500235,0.785942071602066
"24","1726448152_effectSize1","1726448152","effectSize1",0.860354804423157,0.859840417921214,0.860326208174023,0.671706983169241,0.484123933949889,0.307556214876933,0.782137649240139
"25","1726448199_effectSize0.1","1726448199","effectSize0.1",0.890104810775827,0.888270873745249,0.888498150975966,0.796729927418938,0.483133690854606,0.329772611243733,0.64869149674972
"26","1726448199_effectSize0.4","1726448199","effectSize0.4",0.872513335118135,0.834758852553472,0.872474999007633,0.775473736414696,0.466122100393823,0.326124886882605,0.64311974868746
"27","1726448199_effectSize0.7","1726448199","effectSize0.7",0.803230066936261,0.802449264932638,0.800665614795227,0.742045791628103,0.506154162540176,0.321479210852148,0.634809405494641
"28","1726448199_effectSize1","1726448199","effectSize1",0.787428851604496,0.787712964405098,0.787762323400103,0.705459016522891,0.593088657332109,0.320607478081913,0.63025431897129
"29","1726448202_effectSize0.1","1726448202","effectSize0.1",0.853844298059129,NA,0.843257044243296,0.70657330325551,0.322703352928854,0.322860474398131,0.701738151140595
"30","1726448202_effectSize0.4","1726448202","effectSize0.4",0.875903428881513,NA,0.878667735346068,0.695886913649669,0.329601275343939,0.321901257359404,0.64018332392468
"31","1726448202_effectSize0.7","1726448202","effectSize0.7",0.850743911802676,NA,0.850743911802676,0.698195730910626,0.32619693350232,0.320788075054389,0.641666523394551
"32","1726448202_effectSize1","1726448202","effectSize1",0.889950230218937,NA,NA,0.698175344953375,0.330953137678101,0.31973950923877,0.661748349805424
