"","scSTMType","modelType","seed","nCellType","nSample","Batch","CancerType","Num_iter","Num_init","method","init_llh","llh5","llh10","llh15","llh30","llh50","max_llh","pooled_scSTMseq"
"1","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,15,10,"Spectral",-774205366.646433,-768407087.572483,-767234135.479905,-766787157.00263,-766455484.708522,-766375740.799663,-766374866.335011,0.86577940883674
"2","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,15,10,"TopicScore",-771258954.09207,-767799186.002994,-767108058.508466,-766848136.130961,-766533747.056339,-766392154.049991,-766353890.024871,0.848534862557553
"3","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,15,10,"TopicScore",-771284926.01732,-767837497.360006,-767156633.537655,-766900791.489844,-766642578.208503,-766513638.828205,-766352696.592719,0.839912746523549
"4","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,15,10,"TopicScore",-771283952.519025,-767841885.59434,-767157649.051021,-766900792.978945,-766642891.905112,-766516173.226364,-766351708.985023,0.83387979608855
"5","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,15,10,"TopicScore",-771278586.029478,-767839140.229636,-767157554.971382,-766900866.653335,-766642660.949561,-766513396.728859,-766350775.403372,0.834666700586965
"6","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,15,10,"TopicScore",-771283995.993422,-767842107.115806,-767157880.827656,-766900904.782524,-766643251.195471,-766512154.730412,-766346083.200546,0.831803104148082
"7","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,15,10,"TopicScore",-771282618.0482,-767838068.263374,-767156249.285597,-766900951.480725,-766643196.352406,-766513507.543039,-766355866.333679,0.837122408018101
"8","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,15,10,"TopicScore",-771278567.980318,-767838992.01354,-767157611.387834,-766901085.944789,-766642619.997441,-766513721.378679,-766350700.309736,0.834400894587412
"9","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,15,10,"TopicScore",-771278496.812232,-767839045.80914,-767157854.990873,-766901091.003906,-766642689.870383,-766513779.252839,-766354384.472322,0.835194046662688
"10","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,15,10,"TopicScore",-771279510.182257,-767839002.780658,-767157732.199549,-766901246.999227,-766642504.348967,-766513655.016052,-766350338.916856,0.834316561592825
