"","scSTMTyoe","modelType","seed","nCellType","nSample","Batch","CancerType","pooled_scSTMseq","NMI"
"1","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar0.3","1732766261",10,20,TRUE,TRUE,0.980137312970095,0.460768305964048
"2","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar0.8","1732766268",10,20,TRUE,TRUE,0.907015352150887,0.405069006407622
"3","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar1.5","1732766268",10,20,TRUE,TRUE,0.820866995058069,0.399376483735122
"4","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar1","1732766268",10,20,TRUE,TRUE,0.907512154937707,0.386162741510724
"5","scSTM_Pooled_Content_Sample_Prevalence_Time","NullModel","1732766268",10,20,TRUE,TRUE,0.892374717304405,0.382833829537515
"6","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar0.3","1732766283",10,20,TRUE,TRUE,0.963442991803348,0.454526747092167
"7","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar0.5","1732766283",10,20,TRUE,TRUE,0.98011128649047,0.443749123314355
"8","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar0.8","1732766283",10,20,TRUE,TRUE,0.976656790751847,0.443915007102065
"9","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar1.5","1732766283",10,20,TRUE,TRUE,0.959447289226843,0.470960414092117
"10","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar1","1732766283",10,20,TRUE,TRUE,0.977662171593795,0.45344784513549
"11","scSTM_Pooled_Content_Sample_Prevalence_Time","NullModel","1732766283",10,20,TRUE,TRUE,0.977034923379848,0.448544397236411
"12","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar0.3","1732766292",10,20,TRUE,TRUE,0.940734180125467,0.381773268382793
"13","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar0.5","1732766292",10,20,TRUE,TRUE,0.928051832657993,0.399145108836643
"14","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar0.8","1732766292",10,20,TRUE,TRUE,0.928148647190375,0.412926594279386
"15","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar1.5","1732766292",10,20,TRUE,TRUE,0.9369306160314,0.432881257058658
"16","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar1","1732766292",10,20,TRUE,TRUE,0.89784998565539,0.406617537324845
"17","scSTM_Pooled_Content_Sample_Prevalence_Time","NullModel","1732766292",10,20,TRUE,TRUE,0.915102862406188,0.394557343825585
"18","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar0.3","1732766297",10,20,TRUE,TRUE,0.940056761066407,0.424858089416625
"19","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar0.5","1732766297",10,20,TRUE,TRUE,0.893569170201005,0.421399858868169
"20","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar0.8","1732766297",10,20,TRUE,TRUE,0.852771737421445,0.4196987779324
"21","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar1.5","1732766297",10,20,TRUE,TRUE,0.814265346339022,0.434498285574241
"22","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar1","1732766297",10,20,TRUE,TRUE,0.958414500544423,0.426037229455497
"23","scSTM_Pooled_Content_Sample_Prevalence_Time","NullModel","1732766297",10,20,TRUE,TRUE,0.958263931801808,0.412740060025619
"24","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar0.3","1732766299",10,20,TRUE,TRUE,0.958221502435534,0.440195329740515
"25","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar0.5","1732766299",10,20,TRUE,TRUE,0.932966257119959,0.447248244566099
"26","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar0.8","1732766299",10,20,TRUE,TRUE,0.911145435754159,0.463247087040584
"27","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar1.5","1732766299",10,20,TRUE,TRUE,0.969915118370176,0.479639036681389
"28","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar1","1732766299",10,20,TRUE,TRUE,0.962408005963276,0.479226906978876
"29","scSTM_Pooled_Content_Sample_Prevalence_Time","NullModel","1732766299",10,20,TRUE,TRUE,0.959161801135241,0.454695061169585
"30","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar0.3","1732766300",10,20,TRUE,TRUE,0.967710808113668,0.42480203248256
"31","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar0.5","1732766300",10,20,TRUE,TRUE,0.958411221722185,0.429431799694233
"32","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar0.8","1732766300",10,20,TRUE,TRUE,0.97403436314934,0.44377357333905
"33","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar1.5","1732766300",10,20,TRUE,TRUE,0.913808777600627,0.456280664664626
"34","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar1","1732766300",10,20,TRUE,TRUE,0.977526906542832,0.438518436511015
"35","scSTM_Pooled_Content_Sample_Prevalence_Time","NullModel","1732766300",10,20,TRUE,TRUE,0.973328009242967,0.418509558341085
"36","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar0.3","1732766304",10,20,TRUE,TRUE,0.95962746430125,0.468271270175115
"37","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar0.5","1732766304",10,20,TRUE,TRUE,0.984125288712018,0.451693149861743
"38","scSTM_Pooled_Content_Sample_Prevalence_Time","HighVar0.8","1732766304",10,20,TRUE,TRUE,0.976974268283622,0.456471389456174
