"","scSTMTyoe","modelType","seed","nCellType","nSample","Batch","CancerType","pooled_scSTMseq"
"58","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1730959053",10,20,FALSE,TRUE,1
"59","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1730959053",10,20,FALSE,TRUE,1
"60","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1730959060",10,20,FALSE,TRUE,1
"61","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.16","1730959060",10,20,FALSE,TRUE,1
"62","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.23","1730959060",10,20,FALSE,TRUE,1
"63","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1730959060",10,20,FALSE,TRUE,1
"64","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1730959060",10,20,FALSE,TRUE,1
"65","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1730959062",10,20,FALSE,TRUE,1
"66","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.16","1730959062",10,20,FALSE,TRUE,1
"67","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.23","1730959062",10,20,FALSE,TRUE,1
"68","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1730959062",10,20,FALSE,TRUE,1
"69","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1730959062",10,20,FALSE,TRUE,1
"70","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1730959064",10,20,FALSE,TRUE,1
"71","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.16","1730959064",10,20,FALSE,TRUE,1
"72","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.23","1730959064",10,20,FALSE,TRUE,1
"73","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1730959064",10,20,FALSE,TRUE,1
"74","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1730959064",10,20,FALSE,TRUE,1
"75","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1730959070",10,20,FALSE,TRUE,1
"76","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.16","1730959070",10,20,FALSE,TRUE,1
"77","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.23","1730959070",10,20,FALSE,TRUE,1
"78","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1730959070",10,20,FALSE,TRUE,1
"79","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1730959070",10,20,FALSE,TRUE,1
"80","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1730959072",10,20,FALSE,TRUE,1
"81","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.16","1730959072",10,20,FALSE,TRUE,1
"82","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.23","1730959072",10,20,FALSE,TRUE,1
"83","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1730959072",10,20,FALSE,TRUE,1
"84","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1730959072",10,20,FALSE,TRUE,1
"85","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1730959074",10,20,FALSE,TRUE,1
"86","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.16","1730959074",10,20,FALSE,TRUE,1
"87","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.23","1730959074",10,20,FALSE,TRUE,1
"88","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1730959074",10,20,FALSE,TRUE,1
"89","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1730959074",10,20,FALSE,TRUE,1
"90","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1730959077",10,20,FALSE,TRUE,1
"91","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.16","1730959077",10,20,FALSE,TRUE,1
"92","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.23","1730959077",10,20,FALSE,TRUE,1
"93","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1730959077",10,20,FALSE,TRUE,1
"94","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1730959077",10,20,FALSE,TRUE,1
"95","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1730959078",10,20,FALSE,TRUE,1
"96","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.16","1730959078",10,20,FALSE,TRUE,1
"97","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.23","1730959078",10,20,FALSE,TRUE,1
"98","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1730959078",10,20,FALSE,TRUE,1
"99","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1730959078",10,20,FALSE,TRUE,1
"100","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1730959079",10,20,FALSE,TRUE,1
"101","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.16","1730959079",10,20,FALSE,TRUE,1
"102","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.23","1730959079",10,20,FALSE,TRUE,1
"103","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1730959079",10,20,FALSE,TRUE,1
"104","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1730959079",10,20,FALSE,TRUE,1
"105","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1730959088",10,20,FALSE,TRUE,1
"106","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.16","1730959088",10,20,FALSE,TRUE,1
"107","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.23","1730959088",10,20,FALSE,TRUE,1
"108","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1730959088",10,20,FALSE,TRUE,1
"109","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1730959088",10,20,FALSE,TRUE,1
"110","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1730959093",10,20,FALSE,TRUE,1
"111","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.16","1730959093",10,20,FALSE,TRUE,1
"112","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.23","1730959093",10,20,FALSE,TRUE,1
"113","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1730959093",10,20,FALSE,TRUE,1
"114","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1730959093",10,20,FALSE,TRUE,1
"115","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1730959098",10,20,FALSE,TRUE,1
"116","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.16","1730959098",10,20,FALSE,TRUE,1
"117","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.23","1730959098",10,20,FALSE,TRUE,1
"118","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1730959098",10,20,FALSE,TRUE,1
"119","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1730959098",10,20,FALSE,TRUE,1
"120","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1730959108",10,20,FALSE,TRUE,1
"121","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.16","1730959108",10,20,FALSE,TRUE,1
"122","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.23","1730959108",10,20,FALSE,TRUE,1
"123","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1730959108",10,20,FALSE,TRUE,1
"124","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1730959108",10,20,FALSE,TRUE,1
"125","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1730959111",10,20,FALSE,TRUE,1
"126","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.16","1730959111",10,20,FALSE,TRUE,1
"127","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.23","1730959111",10,20,FALSE,TRUE,1
"128","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1730959111",10,20,FALSE,TRUE,1
"129","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1730959111",10,20,FALSE,TRUE,1
"130","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1730959114",10,20,FALSE,TRUE,1
"131","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.16","1730959114",10,20,FALSE,TRUE,1
"132","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.23","1730959114",10,20,FALSE,TRUE,1
"133","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1730959114",10,20,FALSE,TRUE,1
"134","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1730959114",10,20,FALSE,TRUE,1
"135","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1730959119",10,20,FALSE,TRUE,1
"136","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.16","1730959119",10,20,FALSE,TRUE,1
