"","sim","seed","effectSize","scSTM_noContent_Sample_cluster","scSTM_Content_Sample_cluster","fastTopics_cluster","seurat_cluster","sctransform_cluster","monocle3_cluster"
"1","1726255306_effectSize0.1","1726255306","effectSize0.1",0.260961476352432,0.42930556849201,0.13471916066195,0.312006569826938,0.311755068858616,0.691626910444642
"2","1726255306_effectSize0.4","1726255306","effectSize0.4",0.255321657165196,0.357409933049496,0.132722255109702,0.30792439696257,0.307693709774656,0.701674030040483
"3","1726255306_effectSize0.7","1726255306","effectSize0.7",0.242351239453748,0.467270500434877,0.171298093741533,0.304389699489083,0.304178346740736,0.61168595724909
"4","1726255306_effectSize1","1726255306","effectSize1",0.261921551742062,0.493069748320037,0.174211631099625,0.303221548378614,0.30307277126741,0.711331108169949
"5","1726255318_effectSize0.1","1726255318","effectSize0.1",0.652178331590209,0.373680016573223,0.0551945074087043,0.275579042847471,0.275579042847471,0.520878178034294
"6","1726255318_effectSize0.4","1726255318","effectSize0.4",0.627056077823057,0.45027041822211,0.040543976181079,0.273014259984021,0.273014259984021,0.4967049272526
"7","1726255318_effectSize0.7","1726255318","effectSize0.7",0.555658096131873,0.339006403136605,0.0424703689319796,0.27036238862133,0.27036238862133,0.472854375208879
"8","1726255318_effectSize1","1726255318","effectSize1",0.45720941234164,0.482409569939383,0.035539440188299,0.268552565118594,0.268552565118594,0.591696722520643
"9","1726255319_effectSize0.1","1726255319","effectSize0.1",0.109963887208756,0.326901162454542,0.0685117971047475,0.285413183987387,0.285419284207437,0.527368830035635
"10","1726255319_effectSize0.4","1726255319","effectSize0.4",0.157024637782693,0.345752623174511,0.0530997070462498,0.284907478746301,0.284906478898663,0.523229122359658
"11","1726255319_effectSize0.7","1726255319","effectSize0.7",0.0827303456769607,0.324535570289262,0.0422206964762509,0.28344491566653,0.283496510405977,0.515617637128406
"12","1726255319_effectSize1","1726255319","effectSize1",0.0694729019956811,0.423478690588389,0.0349395260180085,0.281995318387028,0.282113887144533,0.525067386847734
"13","1726255325_effectSize0.1","1726255325","effectSize0.1",0.735720444494454,0.47819407953975,0.252288445688196,0.297453058545581,0.297453058545581,0.418875939282944
"14","1726255325_effectSize0.4","1726255325","effectSize0.4",0.750977667217619,0.512744965485774,0.253291007047949,0.296176661610176,0.296176661610176,0.520636152332788
"15","1726255325_effectSize0.7","1726255325","effectSize0.7",0.748860382925838,0.616834686109187,0.251884694068754,0.29620525176708,0.29620525176708,0.505480946496257
"16","1726255325_effectSize1","1726255325","effectSize1",0.766728843889906,0.510310250739872,0.249054176029731,0.296439239846991,0.296375648235213,0.504448707350344
"17","1726255330_effectSize0.1","1726255330","effectSize0.1",0.13792940675792,0.50783571256902,0.11777286400425,0.307533772209526,0.307303844280027,0.623984187133266
"18","1726255330_effectSize0.4","1726255330","effectSize0.4",0.135617411321266,0.494311351313189,0.11561148030902,0.306062692090738,0.306408110602486,0.621759426124214
"19","1726255330_effectSize0.7","1726255330","effectSize0.7",0.12809309121226,0.456050459435727,0.115232872149263,0.305623356761727,0.305858286286078,0.525972978216351
"20","1726255330_effectSize1","1726255330","effectSize1",0.124765554171763,0.404672959675936,0.114190306537041,0.305050106887524,0.304622261684102,0.692769731335307
